Date,0
2022-09-19,527.8359135120365
2022-09-26,486.48072305621133
2022-10-03,485.68271267585715
2022-10-10,77.19953550292499
2022-10-17,75.59044125650072
2022-10-24,80.9669956742409
2022-10-31,97.01947218656119
2022-11-07,58.59197514123352
2022-11-14,75.04836853069747
2022-11-21,73.83868090307115
2022-11-28,56.621509122938875
2022-12-05,65.04773944422743
2022-12-12,65.94109939342056
2022-12-19,72.32997598873678
2022-12-26,140.15771744956314
2023-01-02,156.74808743051955
2023-01-09,219.42181724456162
2023-01-16,188.7027564683028
2023-01-23,168.53897155112003
2023-01-30,143.38939116732476
2023-02-06,134.9661958854753
2023-02-13,142.47078830322036
2023-02-20,95.3448317224975
2023-02-27,201.52895825409223
2023-03-06,30.92050035534311
2023-03-13,52.430473058237965
2023-03-20,76.22695083674154
2023-03-27,102.60390294435837
2023-04-03,140.55809938786862
2023-04-10,126.60066510250576
2023-04-17,203.90374116707548
2023-04-24,198.65826127545725
2023-05-01,187.97988808001452
2023-05-08,322.43060764144
2023-05-15,349.6131577822454
2023-05-22,420.43552581919914
2023-05-29,420.87403805319605
2023-06-05,437.9110516692868
2023-06-12,437.50659676625264
2023-06-19,446.30271045320717
2023-06-26,460.1242331693682
2023-07-03,469.05026198224147
2023-07-10,421.00229021141325
2023-07-17,445.42586788827725
2023-07-24,406.08983818219997
2023-07-31,334.3914714184395
2023-08-07,368.45632882904306
2023-08-14,98.69064625400551
2023-08-21,87.9402753144539
2023-08-28,99.4240472051044
2023-09-04,18.10059429244677
2023-09-11,29.63040193230991
2023-09-18,-4.715232078510638
2023-09-25,-7.635203113125627
2023-10-02,30.831117891469006
2023-10-09,42.76548858613752
2023-10-16,32.72878442314895
2023-10-23,27.26638197875174
2023-10-30,25.327917635149575
2023-11-06,-5.963666147468899
2023-11-13,-7.768758333275912
2023-11-20,-54.7103936783339
2023-11-27,-67.11690499111376
2023-12-04,-63.6885468265624
2023-12-11,-30.51984316884341
2023-12-18,-17.02155802095166
2023-12-25,-1.0404929381040802
2024-01-01,-0.6073193288341088
2024-01-08,15.350723030297956
2024-01-15,42.78962112908897
2024-01-22,21.00557913885322
2024-01-29,433.23611559943663
2024-02-05,410.990022564717
2024-02-12,476.71154470592097
2024-02-19,424.64207328249034
2024-02-26,408.99929920685946
2024-03-04,363.01529899048137
2024-03-11,358.33801451775554
2024-03-18,343.18997655029585
2024-03-25,420.6978333941344
2024-04-01,406.61216542863156
2024-04-08,379.5397568409808
2024-04-15,443.3334610817145
2024-04-22,410.3110111350003
2024-04-29,362.886225670891
2024-05-06,461.29303622121864
2024-05-13,453.470945479467
2024-05-20,518.6814166245551
2024-05-27,538.2879702292937
2024-06-03,563.1419688364786
2024-06-10,556.0414416571238
2024-06-17,584.5042001260897
2024-06-24,623.0375447128924
2024-07-01,611.4267561950222
2024-07-08,595.6226896576673
